"","MF","MW","Ncharges","C","I","N","O","S","Br","Cl","F","H","P","Na","K","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP30974","C15N5O",266.1934,0,15,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,3,86.94,1.42838
"CMP30975","C21N5O3",370.2564,0,21,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,4,3,101.48,2.3282
"CMP30976","C15ClF2NO",283.6164064,0,15,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,29.1,3.9816
"CMP30977","C16ClN2O4",319.6352,2,16,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,84.15,4.1434
"CMP30978","C17FNO4",301.1846032,0,17,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,56.79,3.1724
"CMP30979","C15BrClN2O2",355.5297,0,15,0,2,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,50.36,4.7669
"CMP30980","C24N3O2",362.2757,0,24,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,56.03,4.4767
"CMP30981","C26N7O3",458.3233,0,26,0,7,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,5,4,117.61,1.9129
"CMP30982","C18N5O2",318.2249,0,18,0,5,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,3,92.25,1.9451
"CMP30983","C19N5O3",346.235,0,19,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.7956
"CMP30984","C18N5O3",334.2243,0,18,0,5,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,3,3,101.48,1.4055
