"","MF","MW","Ncharges","C","Cl","N","O","S","I","F","Br","Ge","Si","H","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP1047","C19IN2O2S",447.18497,0,19,0,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,4.3061
"CMP1048","C14ClNO4S",313.6721,0,14,1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,1,92.14,2.6616
"CMP1049","C19IN2O2S",447.18497,0,19,0,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,4.3061
"CMP1050","C13ClNO2S",269.6626,0,13,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,62.68,2.9474
"CMP1051","C19FN2O2S",339.2789032,0,19,0,2,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,3.8406
"CMP1052","C17NO3S2",330.3168,0,17,0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,101.12,4.0382
"CMP1053","C15BrNO4S",370.1338,0,15,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,81.14,3.0737
"CMP1054","C22N3O",322.2549,0,22,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,37.6,3.5812
"CMP1055","C15BrN2O4",352.0755,0,15,0,2,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,1,76.66,2.6977
"CMP1056","C20ClN2O3S2",415.8086,0,20,1,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,109.05,4.0949
"CMP1057","C14F3NO2S",303.2155096,0,14,0,1,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,62.68,3.3128
"CMP1058","C12NO2S2",254.2639,0,12,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,90.92,2.6639
"CMP1059","C14BrNO4S",358.1231,0,14,0,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,1,92.14,2.7707
"CMP1060","C16BrNO3S",366.1451,0,16,0,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,71.91,3.8437
"CMP1061","C13BrNO2S",314.1136,0,13,0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,62.68,3.0565
"CMP1062","C14N2O6S",324.2246,2,14,0,2,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2,1,137.96,2.4396
"CMP1063","C13N2O5S",296.2145,2,13,0,2,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,1,128.73,2.431
"CMP1064","C17Cl2NO5S",401.1566,0,17,2,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,98.21,3.5427
"CMP1065","C21FNO4S",381.2924032,0,21,0,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,4.0207
"CMP1066","C15N2O4S",304.2365,0,15,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,115,1.8584
"CMP1067","C25ClNO4S",445.7898,0,25,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,4,2,81.14,5.6882
"CMP1068","C20ClNO3S",369.7369,0,20,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71.91,4.5264
"CMP1069","C18ClNO6S",393.7137,0,18,1,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,1,107.44,2.8979
"CMP1070","C22N2O6S",420.3102,2,22,0,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,126.96,4.7031
"CMP1071","C22ClFNO4S",428.7561032,0,22,1,1,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,5.0642
"CMP1072","C15NO3S",274.2304,0,15,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,71.91,2.6927
"CMP1073","C14ClNO4S",313.6721,0,14,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,2.6761
"CMP1074","C15NO3S",274.2304,0,15,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,71.91,2.6927
"CMP1075","C16BrNO6S",414.1433,0,16,0,1,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,2,1,118.44,2.5285
"CMP1076","C20FNO3S",353.2823032,0,20,0,1,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,71.91,4.0121
"CMP1077","C16Cl2NO5S",389.1459,0,16,2,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,98.21,3.1526
"CMP1078","C21ClN2O4",379.6887,0,21,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,1,68.2,2.8296
"CMP1079","C17FN2O2S",315.2575032,0,17,0,2,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,3.2238
"CMP1080","C21ClN2O3S",395.7543,0,21,1,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,3,2,74.1,3.9679
"CMP1081","C17ClN2S",299.7133,0,17,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,51.08,4.6755
"CMP1082","C22BrNO4S",454.2087,0,22,0,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,81.14,4.9525
"CMP1083","C18N3O2S",322.2765,0,18,0,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,80.5,3.0965
"CMP1084","C22N2O4S",388.3114,0,22,0,2,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,101.01,3.6929
"CMP1085","C21N2O6S",408.2995,2,21,0,2,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,2,126.96,4.313
"CMP1086","C21ClN3O7",441.6936,2,21,1,3,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,3,2,130.76,3.8522
"CMP1087","C22NO2S2",374.3709,0,22,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,2,86.93,4.4705
"CMP1088","C20Cl2N2O5",419.1304,0,20,2,2,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,3,2,95.94,3.7712
"CMP1089","C18N2O3S",324.2692,0,18,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,1,74.1,2.3928
"CMP1090","C19N2O2S",320.2805,0,19,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,67.61,3.7015
"CMP1091","C16N2O3S",300.2478,0,16,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,1,74.1,1.6126
"CMP1092","C25N3O3S",422.3508,0,25,0,3,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,4,2,96.71,4.5772
"CMP1093","C12N4O",216.1546,0,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,52.3,1.1723
