"","MF","MW","Ncharges","C","Cl","N","O","S","H","I","F","Br","Ge","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP"
"CMP2359","C37FN11O4",681.4656032,0,37,0,11,4,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,7,6,178.85,4.5652
"CMP2360","C35HFN11O4S",690.5171432,0,35,0,11,4,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,7,5,187.23,5.8343
"CMP2361","C37FN12O4",695.4723032,0,37,0,12,4,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,6,5,182.09,4.2582
"CMP2362","C35HFN12O3S",688.5244432,0,35,0,12,3,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,5,177.33,5.1541
"CMP2363","C49FN12O7S",919.6639032,0,49,0,12,7,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,9,5,263.71,7.3289
"CMP2364","C22H4FN9O5",493.3228632,0,22,0,9,5,0,4,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,5,3,189.38,-0.7799
"CMP2365","C34FN11O5",661.4329032,0,34,0,11,5,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,6,5,188.08,3.4206
"CMP2366","C16FN6",295.2098032,0,16,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,68.52,2.0892
"CMP2367","C32HFN12O3S2",684.5573432,0,32,0,12,3,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,5,215.22,5.0584
"CMP2368","C42N7O9",746.4909,0,42,0,7,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,0,1,8,7,206.29,5.83038
"CMP2369","C40HN7O9S",755.54244,0,40,0,7,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,8,6,214.67,7.09948
"CMP2370","C42N8O9",760.4976,0,42,0,8,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,5,0,1,7,6,209.53,5.52338
"CMP2371","C40HN8O8S",753.54974,0,40,0,8,8,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,7,6,204.77,6.41928
