"CMP","MF","MW","Ncharges","C","H","N","O","S","Br","K","Cl","Zn","P","Na","I","F","Ca","Se","Cu","As","Cd","Hg","Pt","Co","RNH2","R2NH","R3N","ROPO3","ROH","RCHO","RCOR","RCOOH","RCOOR","ROR","RCCH","RCN","RINGS","AROMATIC","TPSA","logP","Active","Index"
"CMP1877","C19N",242.21,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,12.03,4.217,0,1877
"CMP1878","C16ClN2O",271.637,0,16,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,44.62,3.417,0,1878
"CMP1879","C15O2",212.1593,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,34.14,2.849,0,1879
"CMP1880","C44ClN2O8",719.9324,0,44,0,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,1,0,0,7,4,151,7.323,0,1880
"CMP1881","C20ClN3O2",349.6859,0,20,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,54.46,4.678,0,1881
"CMP1882","C21N7O16S",638.327,0,21,0,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,4,0,0,3,0,417.5,-4.74,0,1882
"CMP1883","C26O3",360.2764,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,46.53,6.13,0,1883
"CMP1884","C20O2",272.2128,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,4,1,40.46,3.612,0,1884
"CMP1885","C12ClN2O5S",319.6568,0,12,0,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,131,3.744,0,1885
"CMP1886","C23ClN",325.7058,0,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,12.03,6.752,0,1886
"CMP1887","C21HO2",285.23144,0,21,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,37.3,3.882,0,1887
"CMP1888","C14O3",216.148,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,2,46.53,2.631,0,1888
"CMP1889","C8N2O4S",220.1616,0,8,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,121,2.211,0,1889
"CMP1890","C8F3N3O4S2",323.2285096,0,8,0,3,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,135.1,3.342,0,1890
"CMP1891","C12S",176.1934,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,28.24,4.054,0,1891
"CMP1892","C13F2O3",242.1341064,0,13,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,57.53,3.035,0,1892
"CMP1893","C18ClNO2",297.6511,0,18,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,29.54,4.664,0,1893
"CMP1894","C10Cl2N2O2",251.0252,0,10,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,64.52,2.093,0,1894
"CMP1895","C8N3O5",218.1027,0,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,100.8,1.435,0,1895
"CMP1896","C14O3",216.148,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,2,39.44,2.954,0,1896
"CMP1897","C16FN3O3",301.1879032,0,16,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,3,2,74.57,1.662,0,1897
"CMP1898","C8ClNO3",193.5435,0,8,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,86.71,1.806,0,1898
"CMP1899","C9N2O2",168.1085,0,9,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,72.19,1.515,0,1899
"CMP1900","C21Na2O8P",457.17320056,4,21,0,0,8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,4,0,156.8,2.775,0,1900
"CMP1901","C11ClN",181.5774,0,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,3.24,2.553,0,1901
"CMP1902","C7ClN3O4S2",289.6756,0,7,0,3,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,135.1,2.977,0,1902
"CMP1903","C8N7O2S3",322.3263,0,8,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,237.7,3.114,0,1903
"CMP1904","C24NO8",430.2587,0,24,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,2,2,144.6,2.414,0,1904
"CMP1905","C15FO2",231.1577032,0,15,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,37.3,3.68,0,1905
"CMP1906","C16O3",240.1694,0,16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,2,43.37,2.858,0,1906
"CMP1907","C20O2",272.2128,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,37.3,3.636,0,1907
"CMP1908","C19HN3NaO5S",406.28310928,2,19,1,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,2,140.8,0.889,0,1908
"CMP1909","C5NO2S",138.124,0,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,102.1,0.807,0,1909
"CMP1910","C23O6",372.2425,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,4,0,100.9,2.352,0,1910
"CMP1911","C6N4O4",192.0886,2,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,115.9,1.147,0,1911
"CMP1912","C11O3",180.1159,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,57.53,2.522,0,1912
